List,dec
text+button,16.7%
popup_with_access,6.7%
text_only,3.3%
open_with,2.2%
text_empty,20.0%
share_with,84.6%
list+on_off,2.9%
advertisement+button,32.5%
image_list,37.8%
popup_date,0.0%
movie,6.7%
menu_list,37.1%
translate_with_sound,5.9%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,2.9%
list,7.5%
camera,87.5%
picture,0.0%
popup,6.7%
navigation_menu,6.7%
input_form,13.3%
select_dialog,6.7%
calendar,63.3%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,20.7%
