List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,56.7%
open_with,51.1%
text_empty,0.0%
share_with,7.7%
list+on_off,91.4%
advertisement+button,92.5%
image_list,66.7%
popup_date,16.7%
movie,3.3%
menu_list,17.1%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,80.0%
popup_with_continue_as_name,77.1%
list,7.5%
camera,0.0%
picture,0.0%
popup,0.0%
navigation_menu,17.8%
input_form,6.7%
select_dialog,20.0%
calendar,20.0%
text_image,3.3%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,26.5%
