List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,23.3%
open_with,84.4%
text_empty,6.7%
share_with,1.9%
list+on_off,37.1%
advertisement+button,85.0%
image_list,0.0%
popup_date,0.0%
movie,63.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,25.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,2.5%
camera,0.0%
picture,53.3%
popup,13.3%
navigation_menu,6.7%
input_form,3.3%
select_dialog,50.0%
calendar,66.7%
text_image,6.7%
continue_button,2.4%
theme,95.5%
homescreen,20.0%
Total,29.5%
