List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,16.7%
open_with,60.0%
text_empty,26.7%
share_with,25.0%
list+on_off,94.3%
advertisement+button,85.0%
image_list,17.8%
popup_date,0.0%
movie,3.3%
menu_list,80.0%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,100.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,82.9%
list,27.5%
camera,35.0%
picture,6.7%
popup,3.3%
navigation_menu,13.3%
input_form,16.7%
select_dialog,3.3%
calendar,10.0%
text_image,3.3%
continue_button,14.3%
theme,0.0%
homescreen,0.0%
Total,29.5%
