List,dec
text+button,22.2%
popup_with_access,3.3%
text_only,23.3%
open_with,2.2%
text_empty,10.0%
share_with,94.2%
list+on_off,71.4%
advertisement+button,60.0%
image_list,2.2%
popup_date,0.0%
movie,63.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,25.7%
pinpoint_location,76.7%
popup_with_continue_as_name,11.4%
list,22.5%
camera,2.5%
picture,0.0%
popup,6.7%
navigation_menu,11.1%
input_form,6.7%
select_dialog,33.3%
calendar,90.0%
text_image,3.3%
continue_button,7.1%
theme,0.0%
homescreen,20.0%
Total,26.5%
