List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,23.3%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,20.0%,0.0%
r4,10.0%,10.0%
r33,100.0%,0.0%
r12,40.0%,40.0%
r13,65.7%,5.7%
r6,71.4%,91.4%
r29,90.4%,96.2%
r3,6.7%,6.7%
r24,10.0%,5.0%
r32,100.0%,80.0%
r16,10.0%,20.0%
r28,0.0%,73.3%
r25,83.3%,83.3%
r23,5.6%,11.1%
r18,6.7%,20.0%
r11,42.2%,31.1%
r27,100.0%,100.0%
r5,25.0%,25.0%
r17,6.7%,16.7%
r19,88.2%,0.0%
r8,63.3%,3.3%
r1,0.0%,16.7%
r30,0.0%,10.0%
r22,2.4%,2.4%
r26,60.0%,0.0%
r9,0.0%,0.0%
r14,4.4%,44.4%
r2,32.5%,62.5%
r20,60.0%,32.5%
r15,0.0%,0.0%
Total,36.2%,32.5%
