List,gaussian_mixture,kmeans
r31,50.0%,33.3%
r7,76.7%,23.3%
r10,0.0%,20.0%
r21,0.0%,75.0%
r34,11.4%,37.1%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,10.0%,40.0%
r13,71.4%,71.4%
r6,91.4%,94.3%
r29,96.2%,92.3%
r3,6.7%,13.3%
r24,20.0%,10.0%
r32,0.0%,80.0%
r16,36.7%,36.7%
r28,88.9%,71.1%
r25,83.3%,83.3%
r23,5.6%,0.0%
r18,20.0%,3.3%
r11,24.4%,17.8%
r27,0.0%,96.0%
r5,62.5%,7.5%
r17,33.3%,33.3%
r19,0.0%,0.0%
r8,80.0%,73.3%
r1,66.7%,70.0%
r30,10.0%,6.7%
r22,4.8%,4.8%
r26,0.0%,40.0%
r9,100.0%,0.0%
r14,17.8%,15.6%
r2,40.0%,20.0%
r20,7.5%,42.5%
r15,56.7%,56.7%
Total,42.8%,42.8%
