List,gaussian_mixture,kmeans
r31,16.7%,66.7%
r7,76.7%,76.7%
r10,40.0%,0.0%
r21,0.0%,75.0%
r34,14.3%,22.9%
r4,0.0%,20.0%
r33,0.0%,0.0%
r12,40.0%,40.0%
r13,0.0%,65.7%
r6,97.1%,97.1%
r29,28.8%,28.8%
r3,6.7%,6.7%
r24,32.5%,5.0%
r32,76.7%,0.0%
r16,33.3%,3.3%
r28,91.1%,91.1%
r25,83.3%,83.3%
r23,11.1%,0.0%
r18,3.3%,10.0%
r11,0.0%,42.2%
r27,100.0%,72.0%
r5,25.0%,27.5%
r17,30.0%,3.3%
r19,0.0%,0.0%
r8,76.7%,76.7%
r1,0.0%,70.0%
r30,30.0%,13.3%
r22,4.8%,2.4%
r26,40.0%,0.0%
r9,0.0%,0.0%
r14,4.4%,8.9%
r2,32.5%,32.5%
r20,7.5%,25.0%
r15,0.0%,0.0%
Total,31.0%,32.5%
