List,gaussian_mixture,kmeans
r31,83.3%,66.7%
r7,76.7%,23.3%
r10,0.0%,40.0%
r21,75.0%,0.0%
r34,5.7%,20.0%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,25.7%,5.7%
r6,20.0%,20.0%
r29,96.2%,96.2%
r3,13.3%,6.7%
r24,2.5%,2.5%
r32,76.7%,76.7%
r16,43.3%,50.0%
r28,0.0%,97.8%
r25,6.7%,6.7%
r23,5.6%,5.6%
r18,10.0%,3.3%
r11,31.1%,42.2%
r27,96.0%,96.0%
r5,52.5%,25.0%
r17,10.0%,3.3%
r19,0.0%,0.0%
r8,3.3%,16.7%
r1,70.0%,70.0%
r30,30.0%,26.7%
r22,2.4%,2.4%
r26,60.0%,40.0%
r9,0.0%,100.0%
r14,2.2%,6.7%
r2,60.0%,60.0%
r20,47.5%,32.5%
r15,0.0%,0.0%
Total,34.1%,37.2%
