List,gaussian_mixture,kmeans
r31,83.3%,0.0%
r7,76.7%,76.7%
r10,40.0%,20.0%
r21,75.0%,75.0%
r34,28.6%,5.7%
r4,0.0%,10.0%
r33,100.0%,0.0%
r12,43.3%,6.7%
r13,45.7%,45.7%
r6,91.4%,97.1%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,15.0%,2.5%
r32,100.0%,0.0%
r16,46.7%,36.7%
r28,42.2%,55.6%
r25,3.3%,90.0%
r23,0.0%,22.2%
r18,20.0%,20.0%
r11,42.2%,22.2%
r27,60.0%,96.0%
r5,25.0%,10.0%
r17,0.0%,36.7%
r19,70.6%,64.7%
r8,73.3%,63.3%
r1,66.7%,66.7%
r30,6.7%,26.7%
r22,7.1%,4.8%
r26,60.0%,0.0%
r9,100.0%,100.0%
r14,11.1%,0.0%
r2,52.5%,52.5%
r20,20.0%,0.0%
r15,26.7%,0.0%
Total,44.1%,35.8%
