List,gaussian_mixture,kmeans
r31,33.3%,66.7%
r7,23.3%,76.7%
r10,20.0%,0.0%
r21,75.0%,0.0%
r34,25.7%,34.3%
r4,20.0%,20.0%
r33,100.0%,100.0%
r12,16.7%,40.0%
r13,25.7%,0.0%
r6,91.4%,91.4%
r29,94.2%,94.2%
r3,20.0%,0.0%
r24,12.5%,7.5%
r32,100.0%,100.0%
r16,30.0%,10.0%
r28,53.3%,53.3%
r25,6.7%,83.3%
r23,11.1%,5.6%
r18,6.7%,6.7%
r11,42.2%,42.2%
r27,100.0%,100.0%
r5,27.5%,42.5%
r17,20.0%,23.3%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,16.7%,70.0%
r30,0.0%,3.3%
r22,21.4%,11.9%
r26,60.0%,60.0%
r9,100.0%,100.0%
r14,4.4%,4.4%
r2,60.0%,32.5%
r20,45.0%,25.0%
r15,0.0%,0.0%
Total,40.8%,43.2%
