List,gaussian_mixture,kmeans
r31,0.0%,83.3%
r7,23.3%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,42.9%,22.9%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,40.0%,31.4%
r6,94.3%,0.0%
r29,3.8%,96.2%
r3,6.7%,6.7%
r24,2.5%,5.0%
r32,76.7%,76.7%
r16,30.0%,30.0%
r28,88.9%,88.9%
r25,83.3%,83.3%
r23,16.7%,16.7%
r18,20.0%,3.3%
r11,24.4%,24.4%
r27,0.0%,96.0%
r5,2.5%,62.5%
r17,36.7%,23.3%
r19,0.0%,0.0%
r8,76.7%,76.7%
r1,66.7%,66.7%
r30,10.0%,16.7%
r22,2.4%,2.4%
r26,60.0%,40.0%
r9,100.0%,100.0%
r14,8.9%,15.6%
r2,40.0%,40.0%
r20,0.0%,25.0%
r15,6.7%,56.7%
Total,35.6%,44.9%
