List,gaussian_mixture,kmeans
r31,100.0%,100.0%
r7,23.3%,76.7%
r10,20.0%,0.0%
r21,100.0%,100.0%
r34,28.6%,28.6%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,16.7%,16.7%
r13,5.7%,97.1%
r6,91.4%,91.4%
r29,28.8%,61.5%
r3,13.3%,6.7%
r24,20.0%,17.5%
r32,80.0%,80.0%
r16,53.3%,53.3%
r28,91.1%,53.3%
r25,83.3%,90.0%
r23,5.6%,16.7%
r18,6.7%,3.3%
r11,48.9%,24.4%
r27,96.0%,96.0%
r5,25.0%,12.5%
r17,0.0%,6.7%
r19,0.0%,0.0%
r8,73.3%,73.3%
r1,70.0%,70.0%
r30,10.0%,16.7%
r22,9.5%,14.3%
r26,40.0%,0.0%
r9,0.0%,100.0%
r14,15.6%,28.9%
r2,5.0%,82.5%
r20,42.5%,42.5%
r15,0.0%,13.3%
Total,37.8%,47.4%
