List,gaussian_mixture,kmeans
r31,33.3%,66.7%
r7,23.3%,23.3%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,31.4%,2.9%
r4,20.0%,20.0%
r33,0.0%,100.0%
r12,16.7%,3.3%
r13,97.1%,0.0%
r6,91.4%,91.4%
r29,30.8%,94.2%
r3,6.7%,6.7%
r24,5.0%,2.5%
r32,76.7%,20.0%
r16,10.0%,10.0%
r28,28.9%,46.7%
r25,90.0%,0.0%
r23,16.7%,16.7%
r18,10.0%,0.0%
r11,55.6%,24.4%
r27,96.0%,96.0%
r5,10.0%,5.0%
r17,3.3%,3.3%
r19,0.0%,0.0%
r8,60.0%,3.3%
r1,6.7%,83.3%
r30,0.0%,26.7%
r22,4.8%,4.8%
r26,0.0%,0.0%
r9,0.0%,0.0%
r14,4.4%,2.2%
r2,0.0%,62.5%
r20,15.0%,7.5%
r15,0.0%,56.7%
Total,26.8%,28.6%
