List,dec
text+button,22.2%
popup_with_access,3.3%
text_only,40.0%
open_with,2.2%
text_empty,26.7%
share_with,76.9%
list+on_off,94.3%
advertisement+button,55.0%
image_list,2.2%
popup_date,16.7%
movie,60.0%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,10.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,80.0%
popup_with_continue_as_name,2.9%
list,2.5%
camera,47.5%
picture,53.3%
popup,50.0%
navigation_menu,4.4%
input_form,3.3%
select_dialog,43.3%
calendar,3.3%
text_image,6.7%
continue_button,4.8%
theme,77.3%
homescreen,0.0%
Total,29.0%
