List,dec
r31,0.0%
r7,0.0%
r10,20.0%
r21,0.0%
r34,11.4%
r4,10.0%
r33,5.7%
r12,26.7%
r13,91.4%
r6,2.9%
r29,88.5%
r3,13.3%
r24,5.0%
r32,96.7%
r16,6.7%
r28,17.8%
r25,10.0%
r23,11.1%
r18,26.7%
r11,42.2%
r27,0.0%
r5,2.5%
r17,10.0%
r19,29.4%
r8,3.3%
r1,23.3%
r30,20.0%
r22,2.4%
r26,60.0%
r9,18.2%
r14,4.4%
r2,92.5%
r20,0.0%
r15,16.7%
Total,25.1%
