List,dec
text+button,0.0%
popup_with_access,23.3%
text_only,53.3%
open_with,0.0%
text_empty,26.7%
share_with,78.8%
list+on_off,94.3%
advertisement+button,85.0%
image_list,64.4%
popup_date,0.0%
movie,0.0%
menu_list,0.0%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,0.0%
image_view,22.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,63.3%
popup_with_continue_as_name,0.0%
list,75.0%
camera,57.5%
picture,0.0%
popup,6.7%
navigation_menu,0.0%
input_form,0.0%
select_dialog,86.7%
calendar,0.0%
text_image,0.0%
continue_button,0.0%
theme,77.3%
homescreen,0.0%
Total,30.2%
