List,dec
text+button,22.2%
popup_with_access,3.3%
text_only,13.3%
open_with,0.0%
text_empty,13.3%
share_with,94.2%
list+on_off,0.0%
advertisement+button,85.0%
image_list,20.0%
popup_date,0.0%
movie,63.3%
menu_list,2.9%
translate_with_sound,5.9%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,10.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,22.5%
camera,0.0%
picture,40.0%
popup,10.0%
navigation_menu,13.3%
input_form,10.0%
select_dialog,0.0%
calendar,86.7%
text_image,0.0%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,26.1%
