List,dec
text+button,16.7%
popup_with_access,0.0%
text_only,26.7%
open_with,35.6%
text_empty,16.7%
share_with,80.8%
list+on_off,94.3%
advertisement+button,45.0%
image_list,17.8%
popup_date,16.7%
movie,36.7%
menu_list,82.9%
translate_with_sound,94.1%
IME,20.0%
dialer,13.3%
translate,92.0%
image_view,10.0%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,0.0%
popup_with_continue_as_name,80.0%
list,2.5%
camera,2.5%
picture,0.0%
popup,26.7%
navigation_menu,24.4%
input_form,10.0%
select_dialog,33.3%
calendar,56.7%
text_image,0.0%
continue_button,9.5%
theme,18.2%
homescreen,40.0%
Total,31.9%
