List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,13.3%
open_with,80.0%
text_empty,36.7%
share_with,1.9%
list+on_off,37.1%
advertisement+button,85.0%
image_list,20.0%
popup_date,0.0%
movie,63.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,4.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,0.0%
camera,0.0%
picture,53.3%
popup,13.3%
navigation_menu,8.9%
input_form,36.7%
select_dialog,3.3%
calendar,3.3%
text_image,0.0%
continue_button,2.4%
theme,95.5%
homescreen,0.0%
Total,25.2%
