List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,36.7%
open_with,2.2%
text_empty,3.3%
share_with,94.2%
list+on_off,31.4%
advertisement+button,5.0%
image_list,2.2%
popup_date,16.7%
movie,3.3%
menu_list,34.3%
translate_with_sound,29.4%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,63.3%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,80.0%
list,25.0%
camera,92.5%
picture,0.0%
popup,6.7%
navigation_menu,8.9%
input_form,33.3%
select_dialog,36.7%
calendar,0.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,24.7%
