List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,13.3%
open_with,82.2%
text_empty,40.0%
share_with,1.9%
list+on_off,28.6%
advertisement+button,85.0%
image_list,2.2%
popup_date,66.7%
movie,63.3%
menu_list,0.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,0.0%
image_view,7.5%
location_selection,76.7%
continue_as_name,25.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,40.0%
camera,0.0%
picture,53.3%
popup,3.3%
navigation_menu,2.2%
input_form,3.3%
select_dialog,50.0%
calendar,46.7%
text_image,10.0%
continue_button,2.4%
theme,0.0%
homescreen,20.0%
Total,29.0%
