List,dec
text+button,22.2%
popup_with_access,80.0%
text_only,66.7%
open_with,2.2%
text_empty,3.3%
share_with,76.9%
list+on_off,94.3%
advertisement+button,15.0%
image_list,64.4%
popup_date,0.0%
movie,60.0%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,22.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,25.7%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,0.0%
camera,0.0%
picture,0.0%
popup,3.3%
navigation_menu,4.4%
input_form,3.3%
select_dialog,13.3%
calendar,20.0%
text_image,10.0%
continue_button,4.8%
theme,13.6%
homescreen,0.0%
Total,30.6%
