List,dec
c12,10.0%
c13,28.6%
c18,33.3%
c21,13.2%
c6,97.1%
c3,0.0%
c1,33.3%
c23,21.1%
c5,17.5%
c17,23.3%
c11,17.8%
c2,27.5%
c7,0.0%
c16,26.7%
c15,26.7%
c10,0.0%
c20,18.4%
c14,6.7%
c9,0.0%
c19,100.0%
c22,35.1%
c8,0.0%
c4,20.0%
Total,24.4%
