List,dec
c12,10.0%
c13,11.4%
c18,13.3%
c21,18.4%
c6,97.1%
c3,66.7%
c1,33.3%
c23,10.5%
c5,2.5%
c17,13.3%
c11,17.8%
c2,45.0%
c7,0.0%
c16,6.7%
c15,43.3%
c10,0.0%
c20,18.4%
c14,31.1%
c9,9.1%
c19,100.0%
c22,37.8%
c8,0.0%
c4,0.0%
Total,25.1%
