List,dec
c12,6.7%
c13,14.3%
c18,23.3%
c21,5.3%
c6,97.1%
c3,6.7%
c1,66.7%
c23,2.6%
c5,70.0%
c17,3.3%
c11,4.4%
c2,2.5%
c7,0.0%
c16,20.0%
c15,30.0%
c10,0.0%
c20,10.5%
c14,6.7%
c9,18.2%
c19,0.0%
c22,100.0%
c8,0.0%
c4,0.0%
Total,23.9%
