List,dec
text+button,16.7%
popup_with_access,3.3%
text_only,6.7%
open_with,0.0%
text_empty,10.0%
share_with,94.2%
list+on_off,65.7%
advertisement+button,60.0%
image_list,66.7%
popup_date,16.7%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,20.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,40.0%
camera,2.5%
picture,0.0%
popup,6.7%
navigation_menu,13.3%
input_form,3.3%
select_dialog,56.7%
calendar,90.0%
text_image,3.3%
continue_button,14.3%
theme,0.0%
homescreen,20.0%
Total,32.3%
