List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,23.3%
open_with,0.0%
text_empty,6.7%
share_with,94.2%
list+on_off,20.0%
advertisement+button,85.0%
image_list,0.0%
popup_date,66.7%
movie,63.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,20.0%
dialer,13.3%
translate,0.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,3.3%
popup_with_continue_as_name,77.1%
list,80.0%
camera,32.5%
picture,53.3%
popup,10.0%
navigation_menu,6.7%
input_form,6.7%
select_dialog,50.0%
calendar,3.3%
text_image,3.3%
continue_button,31.0%
theme,0.0%
homescreen,0.0%
Total,29.7%
