List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,6.7%
open_with,55.6%
text_empty,23.3%
share_with,69.2%
list+on_off,91.4%
advertisement+button,57.5%
image_list,66.7%
popup_date,33.3%
movie,6.7%
menu_list,74.3%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,92.0%
image_view,7.5%
location_selection,60.0%
continue_as_name,25.0%
popup_with_full_screen,0.0%
pinpoint_location,3.3%
popup_with_continue_as_name,11.4%
list,2.5%
camera,2.5%
picture,6.7%
popup,0.0%
navigation_menu,11.1%
input_form,3.3%
select_dialog,60.0%
calendar,0.0%
text_image,3.3%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,26.9%
