List,dec
text+button,16.7%
popup_with_access,0.0%
text_only,6.7%
open_with,35.6%
text_empty,16.7%
share_with,0.0%
list+on_off,94.3%
advertisement+button,45.0%
image_list,17.8%
popup_date,33.3%
movie,23.3%
menu_list,82.9%
translate_with_sound,94.1%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,10.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,3.3%
popup_with_continue_as_name,80.0%
list,52.5%
camera,0.0%
picture,6.7%
popup,26.7%
navigation_menu,55.6%
input_form,6.7%
select_dialog,76.7%
calendar,56.7%
text_image,13.3%
continue_button,2.4%
theme,18.2%
homescreen,40.0%
Total,31.4%
