List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,0.0%
open_with,24.4%
text_empty,20.0%
share_with,15.4%
list+on_off,91.4%
advertisement+button,85.0%
image_list,26.7%
popup_date,33.3%
movie,40.0%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,10.0%
location_selection,76.7%
continue_as_name,25.0%
popup_with_full_screen,8.6%
pinpoint_location,3.3%
popup_with_continue_as_name,2.9%
list,10.0%
camera,20.0%
picture,0.0%
popup,0.0%
navigation_menu,8.9%
input_form,10.0%
select_dialog,0.0%
calendar,0.0%
text_image,10.0%
continue_button,2.4%
theme,95.5%
homescreen,0.0%
Total,27.3%
