List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,3.3%
open_with,22.2%
text_empty,3.3%
share_with,92.3%
list+on_off,20.0%
advertisement+button,27.5%
image_list,20.0%
popup_date,0.0%
movie,63.3%
menu_list,85.7%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,0.0%
image_view,2.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,85.7%
list,22.5%
camera,80.0%
picture,53.3%
popup,3.3%
navigation_menu,20.0%
input_form,36.7%
select_dialog,86.7%
calendar,60.0%
text_image,16.7%
continue_button,4.8%
theme,18.2%
homescreen,0.0%
Total,32.7%
