List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,53.3%
open_with,57.8%
text_empty,6.7%
share_with,1.9%
list+on_off,94.3%
advertisement+button,85.0%
image_list,2.2%
popup_date,0.0%
movie,6.7%
menu_list,2.9%
translate_with_sound,100.0%
IME,10.0%
dialer,13.3%
translate,4.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,25.0%
camera,57.5%
picture,0.0%
popup,16.7%
navigation_menu,6.7%
input_form,33.3%
select_dialog,6.7%
calendar,50.0%
text_image,3.3%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,26.8%
