List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,50.0%
open_with,53.3%
text_empty,16.7%
share_with,76.9%
list+on_off,94.3%
advertisement+button,2.5%
image_list,64.4%
popup_date,66.7%
movie,63.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,20.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,12.5%
camera,0.0%
picture,53.3%
popup,10.0%
navigation_menu,4.4%
input_form,3.3%
select_dialog,26.7%
calendar,3.3%
text_image,3.3%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,33.1%
