List,dec
text+button,11.1%
popup_with_access,3.3%
text_only,3.3%
open_with,0.0%
text_empty,10.0%
share_with,94.2%
list+on_off,28.6%
advertisement+button,85.0%
image_list,66.7%
popup_date,0.0%
movie,3.3%
menu_list,82.9%
translate_with_sound,100.0%
IME,20.0%
dialer,6.7%
translate,0.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,2.9%
list,2.5%
camera,0.0%
picture,0.0%
popup,26.7%
navigation_menu,15.6%
input_form,3.3%
select_dialog,33.3%
calendar,90.0%
text_image,6.7%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,27.2%
