List,dec
c12,3.3%
c13,0.0%
c18,6.7%
c21,23.7%
c6,20.0%
c3,0.0%
c1,53.3%
c23,23.7%
c5,25.0%
c17,6.7%
c11,26.7%
c2,32.5%
c7,100.0%
c16,16.7%
c15,30.0%
c10,0.0%
c20,2.6%
c14,26.7%
c9,0.0%
c19,0.0%
c22,100.0%
c8,0.0%
c4,20.0%
Total,25.3%
