List,dec
r31,0.0%
r7,100.0%
r10,0.0%
r21,75.0%
r34,28.6%
r4,0.0%
r33,0.0%
r12,0.0%
r13,100.0%
r6,40.0%
r29,65.4%
r3,0.0%
r24,10.0%
r32,60.0%
r16,0.0%
r28,93.3%
r25,3.3%
r23,5.6%
r18,0.0%
r11,0.0%
r27,0.0%
r5,0.0%
r17,0.0%
r19,0.0%
r8,0.0%
r1,0.0%
r30,0.0%
r22,2.4%
r26,0.0%
r9,0.0%
r14,0.0%
r2,30.0%
r20,0.0%
r15,0.0%
Total,20.8%
