List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,30.0%
open_with,24.4%
text_empty,10.0%
share_with,71.2%
list+on_off,20.0%
advertisement+button,2.5%
image_list,15.6%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,20.0%
dialer,6.7%
translate,0.0%
image_view,12.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,68.6%
list,65.0%
camera,0.0%
picture,53.3%
popup,20.0%
navigation_menu,24.4%
input_form,3.3%
select_dialog,53.3%
calendar,90.0%
text_image,3.3%
continue_button,9.5%
theme,95.5%
homescreen,0.0%
Total,33.1%
