List,dec
text+button,16.7%
popup_with_access,0.0%
text_only,3.3%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,71.4%
advertisement+button,85.0%
image_list,66.7%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,20.0%
dialer,13.3%
translate,0.0%
image_view,7.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,14.3%
pinpoint_location,76.7%
popup_with_continue_as_name,74.3%
list,40.0%
camera,0.0%
picture,0.0%
popup,20.0%
navigation_menu,15.6%
input_form,3.3%
select_dialog,0.0%
calendar,90.0%
text_image,16.7%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,32.6%
