List,dec
text+button,11.1%
popup_with_access,3.3%
text_only,63.3%
open_with,53.3%
text_empty,0.0%
share_with,76.9%
list+on_off,62.9%
advertisement+button,17.5%
image_list,64.4%
popup_date,0.0%
movie,63.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,20.0%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,2.5%
camera,2.5%
picture,20.0%
popup,50.0%
navigation_menu,15.6%
input_form,3.3%
select_dialog,30.0%
calendar,0.0%
text_image,13.3%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,33.7%
