List,dec
c12,40.0%
c13,8.6%
c18,23.3%
c21,15.8%
c6,94.3%
c3,86.7%
c1,73.3%
c23,10.5%
c5,25.0%
c17,26.7%
c11,28.9%
c2,32.5%
c7,0.0%
c16,20.0%
c15,26.7%
c10,20.0%
c20,2.6%
c14,8.9%
c9,13.6%
c19,100.0%
c22,59.5%
c8,0.0%
c4,0.0%
Total,29.4%
