List,dec
text+button,16.7%
popup_with_access,0.0%
text_only,6.7%
open_with,4.4%
text_empty,10.0%
share_with,94.2%
list+on_off,2.9%
advertisement+button,25.0%
image_list,64.4%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,20.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,40.0%
camera,0.0%
picture,0.0%
popup,16.7%
navigation_menu,2.2%
input_form,3.3%
select_dialog,3.3%
calendar,90.0%
text_image,16.7%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,28.8%
