List,dec
text+button,11.1%
popup_with_access,70.0%
text_only,13.3%
open_with,0.0%
text_empty,26.7%
share_with,69.2%
list+on_off,94.3%
advertisement+button,25.0%
image_list,57.8%
popup_date,0.0%
movie,6.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,46.7%
translate,0.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,0.0%
pinpoint_location,3.3%
popup_with_continue_as_name,11.4%
list,2.5%
camera,45.0%
picture,33.3%
popup,0.0%
navigation_menu,8.9%
input_form,3.3%
select_dialog,60.0%
calendar,0.0%
text_image,3.3%
continue_button,2.4%
theme,45.5%
homescreen,0.0%
Total,24.9%
