List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,6.7%
open_with,2.2%
text_empty,23.3%
share_with,3.8%
list+on_off,91.4%
advertisement+button,57.5%
image_list,66.7%
popup_date,33.3%
movie,6.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,92.0%
image_view,7.5%
location_selection,60.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,11.4%
list,30.0%
camera,2.5%
picture,6.7%
popup,6.7%
navigation_menu,11.1%
input_form,3.3%
select_dialog,3.3%
calendar,0.0%
text_image,6.7%
continue_button,7.1%
theme,0.0%
homescreen,20.0%
Total,23.9%
