List,gaussian_mixture,kmeans
r31,16.7%,33.3%
r7,76.7%,76.7%
r10,40.0%,20.0%
r21,0.0%,75.0%
r34,34.3%,5.7%
r4,0.0%,20.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,40.0%,17.1%
r6,40.0%,40.0%
r29,32.7%,32.7%
r3,13.3%,6.7%
r24,15.0%,15.0%
r32,96.7%,96.7%
r16,36.7%,40.0%
r28,75.6%,24.4%
r25,83.3%,6.7%
r23,11.1%,22.2%
r18,6.7%,23.3%
r11,22.2%,24.4%
r27,4.0%,4.0%
r5,42.5%,42.5%
r17,3.3%,3.3%
r19,100.0%,100.0%
r8,86.7%,83.3%
r1,70.0%,70.0%
r30,30.0%,3.3%
r22,2.4%,4.8%
r26,0.0%,0.0%
r9,0.0%,100.0%
r14,22.2%,33.3%
r2,12.5%,45.0%
r20,47.5%,47.5%
r15,10.0%,16.7%
Total,38.1%,36.7%
