List,gaussian_mixture,kmeans
r31,0.0%,33.3%
r7,23.3%,76.7%
r10,40.0%,0.0%
r21,100.0%,0.0%
r34,11.4%,17.1%
r4,20.0%,20.0%
r33,0.0%,100.0%
r12,6.7%,40.0%
r13,5.7%,40.0%
r6,42.9%,71.4%
r29,36.5%,36.5%
r3,6.7%,6.7%
r24,15.0%,15.0%
r32,96.7%,96.7%
r16,30.0%,20.0%
r28,42.2%,24.4%
r25,83.3%,6.7%
r23,11.1%,11.1%
r18,20.0%,20.0%
r11,22.2%,24.4%
r27,4.0%,4.0%
r5,42.5%,40.0%
r17,10.0%,0.0%
r19,100.0%,100.0%
r8,80.0%,3.3%
r1,70.0%,70.0%
r30,20.0%,0.0%
r22,7.1%,4.8%
r26,60.0%,60.0%
r9,100.0%,100.0%
r14,17.8%,31.1%
r2,30.0%,30.0%
r20,47.5%,47.5%
r15,53.3%,66.7%
Total,34.6%,36.6%
