List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,100.0%
r10,80.0%,60.0%
r21,0.0%,75.0%
r34,14.3%,14.3%
r4,20.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,3.3%
r13,94.3%,94.3%
r6,91.4%,97.1%
r29,100.0%,100.0%
r3,6.7%,6.7%
r24,15.0%,7.5%
r32,0.0%,0.0%
r16,36.7%,46.7%
r28,100.0%,100.0%
r25,0.0%,83.3%
r23,16.7%,11.1%
r18,20.0%,10.0%
r11,73.3%,0.0%
r27,96.0%,96.0%
r5,55.0%,55.0%
r17,3.3%,20.0%
r19,0.0%,0.0%
r8,80.0%,3.3%
r1,0.0%,0.0%
r30,0.0%,10.0%
r22,19.0%,2.4%
r26,40.0%,40.0%
r9,0.0%,0.0%
r14,4.4%,48.9%
r2,32.5%,32.5%
r20,75.0%,75.0%
r15,0.0%,0.0%
Total,41.7%,42.1%
