List,gaussian_mixture,kmeans
r31,16.7%,66.7%
r7,73.3%,73.3%
r10,40.0%,40.0%
r21,0.0%,0.0%
r34,60.0%,60.0%
r4,10.0%,30.0%
r33,100.0%,100.0%
r12,3.3%,3.3%
r13,0.0%,94.3%
r6,37.1%,51.4%
r29,100.0%,100.0%
r3,13.3%,6.7%
r24,40.0%,2.5%
r32,100.0%,100.0%
r16,3.3%,6.7%
r28,24.4%,42.2%
r25,80.0%,33.3%
r23,22.2%,11.1%
r18,16.7%,13.3%
r11,73.3%,26.7%
r27,96.0%,0.0%
r5,25.0%,25.0%
r17,3.3%,36.7%
r19,0.0%,0.0%
r8,3.3%,3.3%
r1,73.3%,73.3%
r30,20.0%,26.7%
r22,4.8%,2.4%
r26,0.0%,0.0%
r9,0.0%,95.5%
r14,11.1%,20.0%
r2,95.0%,60.0%
r20,72.5%,72.5%
r15,40.0%,0.0%
Total,42.4%,40.8%
