List,gaussian_mixture,kmeans
r31,0.0%,66.7%
r7,0.0%,0.0%
r10,20.0%,20.0%
r21,25.0%,75.0%
r34,25.7%,48.6%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,3.3%,23.3%
r13,8.6%,51.4%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,6.7%,26.7%
r24,5.0%,7.5%
r32,0.0%,100.0%
r16,46.7%,43.3%
r28,33.3%,42.2%
r25,13.3%,6.7%
r23,38.9%,0.0%
r18,30.0%,23.3%
r11,6.7%,60.0%
r27,100.0%,100.0%
r5,27.5%,5.0%
r17,10.0%,26.7%
r19,0.0%,0.0%
r8,83.3%,0.0%
r1,73.3%,0.0%
r30,16.7%,16.7%
r22,4.8%,2.4%
r26,0.0%,26.7%
r9,36.4%,0.0%
r14,60.0%,60.0%
r2,32.5%,0.0%
r20,62.5%,62.5%
r15,0.0%,30.0%
Total,31.4%,34.1%
