List,gaussian_mixture,kmeans
r31,66.7%,0.0%
r7,100.0%,0.0%
r10,40.0%,0.0%
r21,0.0%,0.0%
r34,8.6%,60.0%
r4,0.0%,70.0%
r33,0.0%,100.0%
r12,33.3%,0.0%
r13,34.3%,37.1%
r6,0.0%,97.1%
r29,13.5%,13.5%
r3,0.0%,73.3%
r24,2.5%,5.0%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,57.8%,57.8%
r25,26.7%,10.0%
r23,11.1%,5.6%
r18,20.0%,6.7%
r11,13.3%,11.1%
r27,96.0%,100.0%
r5,27.5%,5.0%
r17,0.0%,10.0%
r19,0.0%,0.0%
r8,93.3%,0.0%
r1,73.3%,73.3%
r30,36.7%,36.7%
r22,11.9%,16.7%
r26,0.0%,20.0%
r9,0.0%,0.0%
r14,64.4%,15.6%
r2,15.0%,52.5%
r20,32.5%,35.0%
r15,26.7%,0.0%
Total,30.4%,31.2%
