List,gaussian_mixture,kmeans
r31,33.3%,33.3%
r7,73.3%,26.7%
r10,20.0%,0.0%
r21,0.0%,0.0%
r34,48.6%,22.9%
r4,20.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,45.7%,54.3%
r6,40.0%,54.3%
r29,11.5%,84.6%
r3,6.7%,6.7%
r24,15.0%,10.0%
r32,96.7%,96.7%
r16,3.3%,3.3%
r28,24.4%,33.3%
r25,80.0%,0.0%
r23,5.6%,22.2%
r18,3.3%,30.0%
r11,24.4%,22.2%
r27,100.0%,0.0%
r5,32.5%,25.0%
r17,20.0%,6.7%
r19,0.0%,0.0%
r8,6.7%,80.0%
r1,76.7%,0.0%
r30,40.0%,33.3%
r22,0.0%,9.5%
r26,60.0%,100.0%
r9,95.5%,100.0%
r14,51.1%,2.2%
r2,42.5%,42.5%
r20,72.5%,0.0%
r15,90.0%,0.0%
Total,41.9%,32.6%
