List,gaussian_mixture,kmeans
r31,33.3%,50.0%
r7,0.0%,100.0%
r10,40.0%,0.0%
r21,75.0%,0.0%
r34,31.4%,31.4%
r4,0.0%,0.0%
r33,85.7%,100.0%
r12,6.7%,40.0%
r13,40.0%,37.1%
r6,97.1%,0.0%
r29,13.5%,13.5%
r3,0.0%,80.0%
r24,7.5%,22.5%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,24.4%,24.4%
r25,10.0%,13.3%
r23,0.0%,0.0%
r18,20.0%,6.7%
r11,15.6%,6.7%
r27,96.0%,96.0%
r5,0.0%,25.0%
r17,0.0%,0.0%
r19,100.0%,0.0%
r8,0.0%,93.3%
r1,0.0%,76.7%
r30,13.3%,33.3%
r22,4.8%,0.0%
r26,13.3%,40.0%
r9,0.0%,4.5%
r14,55.6%,0.0%
r2,45.0%,5.0%
r20,7.5%,15.0%
r15,0.0%,26.7%
Total,26.3%,30.0%
