List,gaussian_mixture,kmeans
r31,66.7%,33.3%
r7,0.0%,0.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,31.4%,48.6%
r4,0.0%,0.0%
r33,0.0%,0.0%
r12,13.3%,6.7%
r13,34.3%,22.9%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,2.5%,5.0%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,33.3%,42.2%
r25,0.0%,46.7%
r23,0.0%,0.0%
r18,10.0%,6.7%
r11,15.6%,20.0%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,50.0%,3.3%
r19,100.0%,0.0%
r8,0.0%,0.0%
r1,43.3%,50.0%
r30,40.0%,10.0%
r22,0.0%,4.8%
r26,0.0%,6.7%
r9,36.4%,9.1%
r14,57.8%,4.4%
r2,47.5%,27.5%
r20,22.5%,7.5%
r15,0.0%,26.7%
Total,28.2%,23.0%
