List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,73.3%,26.7%
r10,0.0%,40.0%
r21,75.0%,100.0%
r34,48.6%,68.6%
r4,10.0%,20.0%
r33,100.0%,100.0%
r12,10.0%,3.3%
r13,100.0%,45.7%
r6,31.4%,51.4%
r29,90.4%,0.0%
r3,20.0%,6.7%
r24,10.0%,15.0%
r32,96.7%,100.0%
r16,36.7%,46.7%
r28,42.2%,42.2%
r25,3.3%,80.0%
r23,5.6%,11.1%
r18,26.7%,13.3%
r11,73.3%,22.2%
r27,100.0%,96.0%
r5,5.0%,12.5%
r17,20.0%,13.3%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,73.3%,93.3%
r30,23.3%,20.0%
r22,2.4%,7.1%
r26,60.0%,0.0%
r9,100.0%,100.0%
r14,51.1%,37.8%
r2,42.5%,52.5%
r20,0.0%,72.5%
r15,0.0%,0.0%
Total,44.4%,40.7%
