List,gaussian_mixture,kmeans
r31,0.0%,16.7%
r7,26.7%,73.3%
r10,60.0%,40.0%
r21,0.0%,0.0%
r34,22.9%,45.7%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,43.3%,46.7%
r13,94.3%,94.3%
r6,40.0%,51.4%
r29,0.0%,100.0%
r3,13.3%,20.0%
r24,5.0%,5.0%
r32,100.0%,0.0%
r16,6.7%,3.3%
r28,33.3%,33.3%
r25,80.0%,76.7%
r23,0.0%,5.6%
r18,16.7%,6.7%
r11,73.3%,73.3%
r27,4.0%,96.0%
r5,35.0%,15.0%
r17,16.7%,23.3%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,96.7%,76.7%
r30,36.7%,3.3%
r22,11.9%,4.8%
r26,0.0%,40.0%
r9,95.5%,95.5%
r14,40.0%,4.4%
r2,0.0%,95.0%
r20,0.0%,72.5%
r15,70.0%,0.0%
Total,37.6%,45.7%
