List,gaussian_mixture,kmeans
r31,66.7%,16.7%
r7,0.0%,0.0%
r10,20.0%,40.0%
r21,25.0%,0.0%
r34,31.4%,0.0%
r4,20.0%,60.0%
r33,0.0%,100.0%
r12,3.3%,40.0%
r13,14.3%,31.4%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,0.0%,0.0%
r24,5.0%,5.0%
r32,100.0%,0.0%
r16,0.0%,0.0%
r28,24.4%,37.8%
r25,3.3%,6.7%
r23,0.0%,0.0%
r18,30.0%,33.3%
r11,11.1%,4.4%
r27,96.0%,96.0%
r5,0.0%,27.5%
r17,53.3%,0.0%
r19,0.0%,100.0%
r8,96.7%,0.0%
r1,70.0%,70.0%
r30,10.0%,13.3%
r22,4.8%,9.5%
r26,20.0%,0.0%
r9,0.0%,0.0%
r14,46.7%,22.2%
r2,42.5%,40.0%
r20,42.5%,20.0%
r15,0.0%,26.7%
Total,27.8%,26.4%
