List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,100.0%,100.0%
r10,20.0%,40.0%
r21,75.0%,0.0%
r34,17.1%,14.3%
r4,20.0%,20.0%
r33,0.0%,0.0%
r12,40.0%,40.0%
r13,94.3%,94.3%
r6,97.1%,97.1%
r29,100.0%,100.0%
r3,6.7%,13.3%
r24,17.5%,15.0%
r32,0.0%,0.0%
r16,36.7%,33.3%
r28,57.8%,57.8%
r25,83.3%,6.7%
r23,5.6%,16.7%
r18,16.7%,20.0%
r11,73.3%,73.3%
r27,96.0%,0.0%
r5,27.5%,27.5%
r17,36.7%,16.7%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,0.0%,0.0%
r30,6.7%,0.0%
r22,9.5%,11.9%
r26,0.0%,40.0%
r9,0.0%,100.0%
r14,60.0%,26.7%
r2,2.5%,60.0%
r20,20.0%,75.0%
r15,0.0%,0.0%
Total,39.7%,39.7%
