List,gaussian_mixture,kmeans
r31,0.0%,66.7%
r7,73.3%,26.7%
r10,40.0%,40.0%
r21,75.0%,100.0%
r34,0.0%,0.0%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,16.7%
r13,94.3%,0.0%
r6,5.7%,40.0%
r29,100.0%,100.0%
r3,0.0%,6.7%
r24,15.0%,15.0%
r32,0.0%,100.0%
r16,33.3%,30.0%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,5.6%,0.0%
r18,3.3%,20.0%
r11,73.3%,22.2%
r27,0.0%,4.0%
r5,25.0%,50.0%
r17,6.7%,6.7%
r19,0.0%,0.0%
r8,3.3%,80.0%
r1,96.7%,96.7%
r30,23.3%,26.7%
r22,14.3%,14.3%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,62.2%,0.0%
r2,62.5%,62.5%
r20,0.0%,72.5%
r15,93.3%,90.0%
Total,44.4%,45.4%
