List,gaussian_mixture,kmeans
r31,66.7%,0.0%
r7,73.3%,73.3%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,22.9%,60.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,3.3%,3.3%
r13,54.3%,54.3%
r6,37.1%,40.0%
r29,86.5%,100.0%
r3,13.3%,20.0%
r24,2.5%,7.5%
r32,96.7%,100.0%
r16,6.7%,0.0%
r28,42.2%,33.3%
r25,10.0%,73.3%
r23,0.0%,22.2%
r18,10.0%,10.0%
r11,26.7%,73.3%
r27,4.0%,4.0%
r5,22.5%,20.0%
r17,0.0%,13.3%
r19,0.0%,0.0%
r8,80.0%,43.3%
r1,93.3%,20.0%
r30,26.7%,6.7%
r22,7.1%,4.8%
r26,100.0%,0.0%
r9,95.5%,0.0%
r14,11.1%,6.7%
r2,95.0%,0.0%
r20,0.0%,20.0%
r15,3.3%,33.3%
Total,37.1%,33.4%
