List,gaussian_mixture,kmeans
r31,66.7%,16.7%
r7,100.0%,0.0%
r10,20.0%,0.0%
r21,0.0%,0.0%
r34,2.9%,22.9%
r4,0.0%,0.0%
r33,0.0%,100.0%
r12,36.7%,40.0%
r13,42.9%,48.6%
r6,0.0%,97.1%
r29,13.5%,13.5%
r3,0.0%,73.3%
r24,17.5%,15.0%
r32,100.0%,100.0%
r16,10.0%,0.0%
r28,24.4%,57.8%
r25,13.3%,26.7%
r23,0.0%,5.6%
r18,3.3%,3.3%
r11,4.4%,13.3%
r27,96.0%,100.0%
r5,25.0%,7.5%
r17,53.3%,0.0%
r19,100.0%,100.0%
r8,93.3%,93.3%
r1,0.0%,73.3%
r30,46.7%,36.7%
r22,0.0%,2.4%
r26,20.0%,6.7%
r9,4.5%,0.0%
r14,44.4%,0.0%
r2,50.0%,5.0%
r20,0.0%,45.0%
r15,0.0%,0.0%
Total,28.0%,33.1%
