List,gaussian_mixture,kmeans
r31,16.7%,33.3%
r7,76.7%,76.7%
r10,40.0%,40.0%
r21,100.0%,0.0%
r34,45.7%,51.4%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,10.0%,40.0%
r13,11.4%,40.0%
r6,40.0%,37.1%
r29,32.7%,32.7%
r3,20.0%,6.7%
r24,17.5%,20.0%
r32,100.0%,96.7%
r16,23.3%,40.0%
r28,42.2%,33.3%
r25,83.3%,6.7%
r23,11.1%,11.1%
r18,26.7%,3.3%
r11,22.2%,22.2%
r27,100.0%,96.0%
r5,12.5%,25.0%
r17,3.3%,3.3%
r19,0.0%,0.0%
r8,3.3%,80.0%
r1,70.0%,70.0%
r30,3.3%,30.0%
r22,9.5%,2.4%
r26,40.0%,0.0%
r9,0.0%,100.0%
r14,48.9%,0.0%
r2,45.0%,45.0%
r20,47.5%,20.0%
r15,76.7%,76.7%
Total,38.0%,37.7%
