List,gaussian_mixture,kmeans
r31,50.0%,0.0%
r7,0.0%,0.0%
r10,0.0%,40.0%
r21,0.0%,25.0%
r34,0.0%,54.3%
r4,60.0%,10.0%
r33,100.0%,100.0%
r12,3.3%,33.3%
r13,34.3%,40.0%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,0.0%
r24,15.0%,20.0%
r32,100.0%,0.0%
r16,3.3%,3.3%
r28,57.8%,57.8%
r25,6.7%,3.3%
r23,0.0%,11.1%
r18,23.3%,23.3%
r11,17.8%,15.6%
r27,100.0%,100.0%
r5,27.5%,25.0%
r17,3.3%,3.3%
r19,100.0%,100.0%
r8,0.0%,93.3%
r1,73.3%,73.3%
r30,33.3%,40.0%
r22,2.4%,2.4%
r26,0.0%,20.0%
r9,18.2%,27.3%
r14,57.8%,46.7%
r2,15.0%,15.0%
r20,20.0%,35.0%
r15,0.0%,0.0%
Total,32.0%,34.2%
