List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,26.7%,26.7%
r10,20.0%,0.0%
r21,75.0%,25.0%
r34,0.0%,2.9%
r4,10.0%,0.0%
r33,0.0%,100.0%
r12,26.7%,33.3%
r13,94.3%,94.3%
r6,91.4%,91.4%
r29,0.0%,0.0%
r3,0.0%,6.7%
r24,5.0%,15.0%
r32,0.0%,0.0%
r16,46.7%,46.7%
r28,57.8%,42.2%
r25,83.3%,3.3%
r23,5.6%,5.6%
r18,20.0%,20.0%
r11,73.3%,0.0%
r27,100.0%,96.0%
r5,5.0%,27.5%
r17,10.0%,30.0%
r19,0.0%,0.0%
r8,3.3%,80.0%
r1,0.0%,96.7%
r30,23.3%,26.7%
r22,14.3%,11.9%
r26,0.0%,60.0%
r9,0.0%,100.0%
r14,62.2%,0.0%
r2,62.5%,60.0%
r20,22.5%,20.0%
r15,93.3%,93.3%
Total,33.0%,37.0%
