List,gaussian_mixture,kmeans
r31,83.3%,50.0%
r7,100.0%,0.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,57.1%,57.1%
r4,10.0%,0.0%
r33,0.0%,100.0%
r12,40.0%,40.0%
r13,37.1%,37.1%
r6,0.0%,97.1%
r29,13.5%,86.5%
r3,73.3%,73.3%
r24,7.5%,37.5%
r32,100.0%,100.0%
r16,6.7%,10.0%
r28,33.3%,24.4%
r25,23.3%,3.3%
r23,0.0%,0.0%
r18,6.7%,3.3%
r11,13.3%,15.6%
r27,96.0%,96.0%
r5,27.5%,5.0%
r17,6.7%,6.7%
r19,0.0%,100.0%
r8,83.3%,0.0%
r1,20.0%,0.0%
r30,40.0%,40.0%
r22,4.8%,4.8%
r26,13.3%,40.0%
r9,36.4%,0.0%
r14,57.8%,57.8%
r2,7.5%,0.0%
r20,0.0%,0.0%
r15,26.7%,0.0%
Total,29.3%,33.3%
